trace_id,feature,kind,requirement_id,requirement,spec_path,api,implementation,tests,ci_evidence,classification,notes
003-SC-002,003,SC,SC-002,"Verification covers 100% of required primitive categories: platform types, strings, names, ownership pointers, memory utilities, arrays, and maps.",specs/003-core-types-memory/spec.md:104,"Source/Core/Public/Core/{FPlatformTypes,FString,FName,FMemory,TArray,TMap,TSharedPtr,TUniquePtr}.h","Source/Core/Private/{CoreModule,FMemory}.cpp",Tests/CoreFoundationTests.cpp; Tests/Main.cpp,.github/workflows/ci.yml; Build/*/Tests/StonerTest,FeatureMapped,"Feature-level evidence seed for Core types, memory, containers, and ownership vocabulary."
003-SC-003,003,SC,SC-003,"The Core foundation verification suite completes with zero failures on Windows, macOS, and Linux.",specs/003-core-types-memory/spec.md:105,"Source/Core/Public/Core/{FPlatformTypes,FString,FName,FMemory,TArray,TMap,TSharedPtr,TUniquePtr}.h","Source/Core/Private/{CoreModule,FMemory}.cpp",Tests/CoreFoundationTests.cpp; Tests/Main.cpp,.github/workflows/ci.yml; Build/*/Tests/StonerTest,FeatureMapped,"Feature-level evidence seed for Core types, memory, containers, and ownership vocabulary."
003-SC-004,003,SC,SC-004,Documented fixed-width type expectations are met for every required type on all supported platforms.,specs/003-core-types-memory/spec.md:106,"Source/Core/Public/Core/{FPlatformTypes,FString,FName,FMemory,TArray,TMap,TSharedPtr,TUniquePtr}.h","Source/Core/Private/{CoreModule,FMemory}.cpp",Tests/CoreFoundationTests.cpp; Tests/Main.cpp,.github/workflows/ci.yml; Build/*/Tests/StonerTest,FeatureMapped,"Feature-level evidence seed for Core types, memory, containers, and ownership vocabulary."
003-SC-005,003,SC,SC-005,"At least 95% of boundary-case verification scenarios pass before this feature is considered complete, and any remaining accepted gaps are documented with rationale.",specs/003-core-types-memory/spec.md:107,"Source/Core/Public/Core/{FPlatformTypes,FString,FName,FMemory,TArray,TMap,TSharedPtr,TUniquePtr}.h","Source/Core/Private/{CoreModule,FMemory}.cpp",Tests/CoreFoundationTests.cpp; Tests/Main.cpp,.github/workflows/ci.yml; Build/*/Tests/StonerTest,FeatureMapped,"Feature-level evidence seed for Core types, memory, containers, and ownership vocabulary."
003-SC-006,003,SC,SC-006,"No public capability in this feature requires a caller to include or initialize RHI, Backend, Renderer, or Application functionality.",specs/003-core-types-memory/spec.md:108,"Source/Core/Public/Core/{FPlatformTypes,FString,FName,FMemory,TArray,TMap,TSharedPtr,TUniquePtr}.h","Source/Core/Private/{CoreModule,FMemory}.cpp",Tests/CoreFoundationTests.cpp; Tests/Main.cpp,.github/workflows/ci.yml; Build/*/Tests/StonerTest,FeatureMapped,"Feature-level evidence seed for Core types, memory, containers, and ownership vocabulary."
004-FR-001,004,FR,FR-001,"The system MUST provide Core vector values for 2D, 3D, and 4D floating-point quantities with arithmetic, component access, comparison, length, normalization, dot product, and cross product behavior where mathematically applicable.",specs/004-core-math-library/spec.md:83,"Source/Core/Public/Core/{FMath,FVector2,FVector3,FVector4,FMatrix4x4,FQuat,FTransform,FColor,FBox,FSphere,FPlane}.h",Header-only Core math implementation,Tests/CoreMathTests.cpp; Tests/Main.cpp,.github/workflows/ci.yml; Build/*/Tests/StonerTest,FeatureMapped,Feature-level evidence seed for Core math contracts and boundary tests.
004-FR-002,004,FR,FR-002,"The system MUST provide a 4x4 matrix value that supports identity construction, multiplication, transpose, inverse handling, and point/vector transformation.",specs/004-core-math-library/spec.md:84,"Source/Core/Public/Core/{FMath,FVector2,FVector3,FVector4,FMatrix4x4,FQuat,FTransform,FColor,FBox,FSphere,FPlane}.h",Header-only Core math implementation,Tests/CoreMathTests.cpp; Tests/Main.cpp,.github/workflows/ci.yml; Build/*/Tests/StonerTest,FeatureMapped,Feature-level evidence seed for Core math contracts and boundary tests.
004-FR-003,004,FR,FR-003,"The system MUST provide a quaternion value for rotations, including identity rotation, construction from common rotation inputs, normalization, multiplication/composition, and conversion to or from matrix-compatible rotation behavior.",specs/004-core-math-library/spec.md:85,"Source/Core/Public/Core/{FMath,FVector2,FVector3,FVector4,FMatrix4x4,FQuat,FTransform,FColor,FBox,FSphere,FPlane}.h",Header-only Core math implementation,Tests/CoreMathTests.cpp; Tests/Main.cpp,.github/workflows/ci.yml; Build/*/Tests/StonerTest,FeatureMapped,Feature-level evidence seed for Core math contracts and boundary tests.
004-FR-004,004,FR,FR-004,"The system MUST provide a transform value that combines translation, rotation, and scale and can transform points and directions predictably; composition, inverse, and relative conversion MUST expose deterministic failure when the exact affine result cannot be represented by translation, rotation, and scale alone.",specs/004-core-math-library/spec.md:86,"Source/Core/Public/Core/{FMath,FVector2,FVector3,FVector4,FMatrix4x4,FQuat,FTransform,FColor,FBox,FSphere,FPlane}.h",Header-only Core math implementation,Tests/CoreMathTests.cpp; Tests/Main.cpp,.github/workflows/ci.yml; Build/*/Tests/StonerTest,FeatureMapped,Feature-level evidence seed for Core math contracts and boundary tests.
004-FR-005,004,FR,FR-005,"The system MUST provide math utilities for common scalar operations, including clamp, min, max, absolute value, interpolation, degree/radian conversion, trigonometric helpers, square root, and near-equality comparison.",specs/004-core-math-library/spec.md:87,"Source/Core/Public/Core/{FMath,FVector2,FVector3,FVector4,FMatrix4x4,FQuat,FTransform,FColor,FBox,FSphere,FPlane}.h",Header-only Core math implementation,Tests/CoreMathTests.cpp; Tests/Main.cpp,.github/workflows/ci.yml; Build/*/Tests/StonerTest,FeatureMapped,Feature-level evidence seed for Core math contracts and boundary tests.
004-FR-006,004,FR,FR-006,"The system MUST provide color values for floating-point and byte channel use cases with predictable channel ordering, construction, comparison, and conversion behavior.",specs/004-core-math-library/spec.md:88,"Source/Core/Public/Core/{FMath,FVector2,FVector3,FVector4,FMatrix4x4,FQuat,FTransform,FColor,FBox,FSphere,FPlane}.h",Header-only Core math implementation,Tests/CoreMathTests.cpp; Tests/Main.cpp,.github/workflows/ci.yml; Build/*/Tests/StonerTest,FeatureMapped,Feature-level evidence seed for Core math contracts and boundary tests.
004-FR-007,004,FR,FR-007,"The system MUST provide basic geometric primitives for boxes, spheres, and planes with construction, validity, containment, combination, and classification behavior appropriate to each primitive.",specs/004-core-math-library/spec.md:89,"Source/Core/Public/Core/{FMath,FVector2,FVector3,FVector4,FMatrix4x4,FQuat,FTransform,FColor,FBox,FSphere,FPlane}.h",Header-only Core math implementation,Tests/CoreMathTests.cpp; Tests/Main.cpp,.github/workflows/ci.yml; Build/*/Tests/StonerTest,FeatureMapped,Feature-level evidence seed for Core math contracts and boundary tests.
004-FR-008,004,FR,FR-008,"Every public math value MUST expose explicit identity, zero, or invalid/default behavior where that concept is meaningful.",specs/004-core-math-library/spec.md:90,"Source/Core/Public/Core/{FMath,FVector2,FVector3,FVector4,FMatrix4x4,FQuat,FTransform,FColor,FBox,FSphere,FPlane}.h",Header-only Core math implementation,Tests/CoreMathTests.cpp; Tests/Main.cpp,.github/workflows/ci.yml; Build/*/Tests/StonerTest,FeatureMapped,Feature-level evidence seed for Core math contracts and boundary tests.
004-FR-009,004,FR,FR-009,Floating-point equality and validation MUST use documented tolerance rules for scenarios where exact equality is not reliable.,specs/004-core-math-library/spec.md:91,"Source/Core/Public/Core/{FMath,FVector2,FVector3,FVector4,FMatrix4x4,FQuat,FTransform,FColor,FBox,FSphere,FPlane}.h",Header-only Core math implementation,Tests/CoreMathTests.cpp; Tests/Main.cpp,.github/workflows/ci.yml; Build/*/Tests/StonerTest,FeatureMapped,Feature-level evidence seed for Core math contracts and boundary tests.
004-FR-010,004,FR,FR-010,Public Core math capabilities MUST be accessible without including or depending on higher engine layers.,specs/004-core-math-library/spec.md:92,"Source/Core/Public/Core/{FMath,FVector2,FVector3,FVector4,FMatrix4x4,FQuat,FTransform,FColor,FBox,FSphere,FPlane}.h",Header-only Core math implementation,Tests/CoreMathTests.cpp; Tests/Main.cpp,.github/workflows/ci.yml; Build/*/Tests/StonerTest,FeatureMapped,Feature-level evidence seed for Core math contracts and boundary tests.
004-FR-011,004,FR,FR-011,"The feature MUST include verification coverage for normal, boundary, and invalid-input cases across vectors, matrices, quaternions, transforms, math utilities, colors, boxes, spheres, and planes.",specs/004-core-math-library/spec.md:93,"Source/Core/Public/Core/{FMath,FVector2,FVector3,FVector4,FMatrix4x4,FQuat,FTransform,FColor,FBox,FSphere,FPlane}.h",Header-only Core math implementation,Tests/CoreMathTests.cpp; Tests/Main.cpp,.github/workflows/ci.yml; Build/*/Tests/StonerTest,FeatureMapped,Feature-level evidence seed for Core math contracts and boundary tests.
004-FR-012,004,FR,FR-012,"Public documentation or discoverable comments MUST describe coordinate, transform, color channel, tolerance, and invalid-input expectations used by the math library.",specs/004-core-math-library/spec.md:94,"Source/Core/Public/Core/{FMath,FVector2,FVector3,FVector4,FMatrix4x4,FQuat,FTransform,FColor,FBox,FSphere,FPlane}.h",Header-only Core math implementation,Tests/CoreMathTests.cpp; Tests/Main.cpp,.github/workflows/ci.yml; Build/*/Tests/StonerTest,FeatureMapped,Feature-level evidence seed for Core math contracts and boundary tests.
004-FR-013,004,FR,FR-013,The feature MUST leave room for later SIMD optimization without requiring callers to change public math usage.,specs/004-core-math-library/spec.md:95,"Source/Core/Public/Core/{FMath,FVector2,FVector3,FVector4,FMatrix4x4,FQuat,FTransform,FColor,FBox,FSphere,FPlane}.h",Header-only Core math implementation,Tests/CoreMathTests.cpp; Tests/Main.cpp,.github/workflows/ci.yml; Build/*/Tests/StonerTest,FeatureMapped,Feature-level evidence seed for Core math contracts and boundary tests.
004-FR-014,004,FR,FR-014,"The feature MUST exclude spatial acceleration structures, physics-specific math, camera systems, animation systems, and renderer-owned scene data.",specs/004-core-math-library/spec.md:96,"Source/Core/Public/Core/{FMath,FVector2,FVector3,FVector4,FMatrix4x4,FQuat,FTransform,FColor,FBox,FSphere,FPlane}.h",Header-only Core math implementation,Tests/CoreMathTests.cpp; Tests/Main.cpp,.github/workflows/ci.yml; Build/*/Tests/StonerTest,FeatureMapped,Feature-level evidence seed for Core math contracts and boundary tests.
004-SC-001,004,SC,SC-001,A developer can create a Core-only sample that uses all required math categories in under 20 minutes using the names and behavior described by this spec.,specs/004-core-math-library/spec.md:113,"Source/Core/Public/Core/{FMath,FVector2,FVector3,FVector4,FMatrix4x4,FQuat,FTransform,FColor,FBox,FSphere,FPlane}.h",Header-only Core math implementation,Tests/CoreMathTests.cpp; Tests/Main.cpp,.github/workflows/ci.yml; Build/*/Tests/StonerTest,FeatureMapped,Feature-level evidence seed for Core math contracts and boundary tests.
004-SC-002,004,SC,SC-002,"Verification covers 100% of required math categories: vectors, matrices, quaternions, transforms, math utilities, colors, boxes, spheres, and planes.",specs/004-core-math-library/spec.md:114,"Source/Core/Public/Core/{FMath,FVector2,FVector3,FVector4,FMatrix4x4,FQuat,FTransform,FColor,FBox,FSphere,FPlane}.h",Header-only Core math implementation,Tests/CoreMathTests.cpp; Tests/Main.cpp,.github/workflows/ci.yml; Build/*/Tests/StonerTest,FeatureMapped,Feature-level evidence seed for Core math contracts and boundary tests.
004-SC-003,004,SC,SC-003,"The Core math verification suite completes with zero failures on Windows, macOS, and Linux.",specs/004-core-math-library/spec.md:115,"Source/Core/Public/Core/{FMath,FVector2,FVector3,FVector4,FMatrix4x4,FQuat,FTransform,FColor,FBox,FSphere,FPlane}.h",Header-only Core math implementation,Tests/CoreMathTests.cpp; Tests/Main.cpp,.github/workflows/ci.yml; Build/*/Tests/StonerTest,FeatureMapped,Feature-level evidence seed for Core math contracts and boundary tests.
004-SC-004,004,SC,SC-004,"At least 95% of defined boundary and invalid-input scenarios pass before this feature is considered complete, and any accepted gaps are documented with rationale.",specs/004-core-math-library/spec.md:116,"Source/Core/Public/Core/{FMath,FVector2,FVector3,FVector4,FMatrix4x4,FQuat,FTransform,FColor,FBox,FSphere,FPlane}.h",Header-only Core math implementation,Tests/CoreMathTests.cpp; Tests/Main.cpp,.github/workflows/ci.yml; Build/*/Tests/StonerTest,FeatureMapped,Feature-level evidence seed for Core math contracts and boundary tests.
004-SC-005,004,SC,SC-005,"No public math capability in this feature requires a caller to include or initialize RHI, Backend, Renderer, or Application functionality.",specs/004-core-math-library/spec.md:117,"Source/Core/Public/Core/{FMath,FVector2,FVector3,FVector4,FMatrix4x4,FQuat,FTransform,FColor,FBox,FSphere,FPlane}.h",Header-only Core math implementation,Tests/CoreMathTests.cpp; Tests/Main.cpp,.github/workflows/ci.yml; Build/*/Tests/StonerTest,FeatureMapped,Feature-level evidence seed for Core math contracts and boundary tests.
004-SC-006,004,SC,SC-006,Equivalent deterministic math scenarios produce results within documented tolerances on all supported platforms.,specs/004-core-math-library/spec.md:118,"Source/Core/Public/Core/{FMath,FVector2,FVector3,FVector4,FMatrix4x4,FQuat,FTransform,FColor,FBox,FSphere,FPlane}.h",Header-only Core math implementation,Tests/CoreMathTests.cpp; Tests/Main.cpp,.github/workflows/ci.yml; Build/*/Tests/StonerTest,FeatureMapped,Feature-level evidence seed for Core math contracts and boundary tests.
004-SC-007,004,SC,SC-007,"Later roadmap phases that need spatial values can reference this math vocabulary without defining duplicate vector, matrix, quaternion, transform, color, or primitive types.",specs/004-core-math-library/spec.md:119,"Source/Core/Public/Core/{FMath,FVector2,FVector3,FVector4,FMatrix4x4,FQuat,FTransform,FColor,FBox,FSphere,FPlane}.h",Header-only Core math implementation,Tests/CoreMathTests.cpp; Tests/Main.cpp,.github/workflows/ci.yml; Build/*/Tests/StonerTest,FeatureMapped,Feature-level evidence seed for Core math contracts and boundary tests.
005-FR-001,005,FR,FR-001,"System MUST provide an `ELogSeverity` enumeration with five levels: Verbose, Info, Warning, Error, Fatal.",specs/005-core-logging-assertions/spec.md:94,"Source/Core/Public/Core/{FLog,FLogCategory,FLogConsoleSink,SGAssert,SGLog,SGPlatformBreak}.h","Source/Core/Private/{FLog,FLogCategory,FLogConsoleSink}.cpp",Tests/LoggingAssertionTests.cpp; Tests/Main.cpp,.github/workflows/ci.yml; Build/*/Tests/StonerTest,FeatureMapped,"Feature-level evidence seed for logging, assertion, filtering, and thread-safety contracts."
005-FR-002,005,FR,FR-002,"System MUST provide an `SG_LOG(Category, Severity, Format, ...)` macro that formats a message using printf-style formatting and dispatches it to the active output sink.",specs/005-core-logging-assertions/spec.md:95,"Source/Core/Public/Core/{FLog,FLogCategory,FLogConsoleSink,SGAssert,SGLog,SGPlatformBreak}.h","Source/Core/Private/{FLog,FLogCategory,FLogConsoleSink}.cpp",Tests/LoggingAssertionTests.cpp; Tests/Main.cpp,.github/workflows/ci.yml; Build/*/Tests/StonerTest,FeatureMapped,"Feature-level evidence seed for logging, assertion, filtering, and thread-safety contracts."
005-FR-003,005,FR,FR-003,"System MUST provide a log category declaration mechanism that allows defining named categories (e.g., `LogCore`, `LogRHI`, `LogRenderer`, `LogVulkan`) usable across translation units.",specs/005-core-logging-assertions/spec.md:96,"Source/Core/Public/Core/{FLog,FLogCategory,FLogConsoleSink,SGAssert,SGLog,SGPlatformBreak}.h","Source/Core/Private/{FLog,FLogCategory,FLogConsoleSink}.cpp",Tests/LoggingAssertionTests.cpp; Tests/Main.cpp,.github/workflows/ci.yml; Build/*/Tests/StonerTest,FeatureMapped,"Feature-level evidence seed for logging, assertion, filtering, and thread-safety contracts."
005-FR-004,005,FR,FR-004,System MUST provide a console output sink that writes formatted log messages to `stdout` (for Verbose/Info) and `stderr` (for Warning/Error/Fatal).,specs/005-core-logging-assertions/spec.md:97,"Source/Core/Public/Core/{FLog,FLogCategory,FLogConsoleSink,SGAssert,SGLog,SGPlatformBreak}.h","Source/Core/Private/{FLog,FLogCategory,FLogConsoleSink}.cpp",Tests/LoggingAssertionTests.cpp; Tests/Main.cpp,.github/workflows/ci.yml; Build/*/Tests/StonerTest,FeatureMapped,"Feature-level evidence seed for logging, assertion, filtering, and thread-safety contracts."
005-FR-005,005,FR,FR-005,"Each log message MUST include: timestamp, category name, severity label, and the user-provided formatted message.",specs/005-core-logging-assertions/spec.md:98,"Source/Core/Public/Core/{FLog,FLogCategory,FLogConsoleSink,SGAssert,SGLog,SGPlatformBreak}.h","Source/Core/Private/{FLog,FLogCategory,FLogConsoleSink}.cpp",Tests/LoggingAssertionTests.cpp; Tests/Main.cpp,.github/workflows/ci.yml; Build/*/Tests/StonerTest,FeatureMapped,"Feature-level evidence seed for logging, assertion, filtering, and thread-safety contracts."
005-FR-006,005,FR,FR-006,"System MUST support per-category minimum severity filtering, allowing suppression of messages below a configured threshold.",specs/005-core-logging-assertions/spec.md:99,"Source/Core/Public/Core/{FLog,FLogCategory,FLogConsoleSink,SGAssert,SGLog,SGPlatformBreak}.h","Source/Core/Private/{FLog,FLogCategory,FLogConsoleSink}.cpp",Tests/LoggingAssertionTests.cpp; Tests/Main.cpp,.github/workflows/ci.yml; Build/*/Tests/StonerTest,FeatureMapped,"Feature-level evidence seed for logging, assertion, filtering, and thread-safety contracts."
005-FR-007,005,FR,FR-007,System MUST support a global minimum severity threshold that applies when no per-category override is set.,specs/005-core-logging-assertions/spec.md:100,"Source/Core/Public/Core/{FLog,FLogCategory,FLogConsoleSink,SGAssert,SGLog,SGPlatformBreak}.h","Source/Core/Private/{FLog,FLogCategory,FLogConsoleSink}.cpp",Tests/LoggingAssertionTests.cpp; Tests/Main.cpp,.github/workflows/ci.yml; Build/*/Tests/StonerTest,FeatureMapped,"Feature-level evidence seed for logging, assertion, filtering, and thread-safety contracts."
005-FR-008,005,FR,FR-008,System MUST provide `SG_CHECK(Expr)` — a runtime assertion macro that is active in Debug builds and stripped (zero cost) in Release builds.,specs/005-core-logging-assertions/spec.md:101,"Source/Core/Public/Core/{FLog,FLogCategory,FLogConsoleSink,SGAssert,SGLog,SGPlatformBreak}.h","Source/Core/Private/{FLog,FLogCategory,FLogConsoleSink}.cpp",Tests/LoggingAssertionTests.cpp; Tests/Main.cpp,.github/workflows/ci.yml; Build/*/Tests/StonerTest,FeatureMapped,"Feature-level evidence seed for logging, assertion, filtering, and thread-safety contracts."
005-FR-009,005,FR,FR-009,System MUST provide `SG_VERIFY(Expr)` — an assertion macro that always evaluates the expression but only checks the result in Debug builds.,specs/005-core-logging-assertions/spec.md:102,"Source/Core/Public/Core/{FLog,FLogCategory,FLogConsoleSink,SGAssert,SGLog,SGPlatformBreak}.h","Source/Core/Private/{FLog,FLogCategory,FLogConsoleSink}.cpp",Tests/LoggingAssertionTests.cpp; Tests/Main.cpp,.github/workflows/ci.yml; Build/*/Tests/StonerTest,FeatureMapped,"Feature-level evidence seed for logging, assertion, filtering, and thread-safety contracts."
005-FR-010,005,FR,FR-010,"System MUST provide `SG_CHECKF(Expr, Format, ...)` — an assertion macro with a printf-style formatted failure message, active in Debug builds.",specs/005-core-logging-assertions/spec.md:103,"Source/Core/Public/Core/{FLog,FLogCategory,FLogConsoleSink,SGAssert,SGLog,SGPlatformBreak}.h","Source/Core/Private/{FLog,FLogCategory,FLogConsoleSink}.cpp",Tests/LoggingAssertionTests.cpp; Tests/Main.cpp,.github/workflows/ci.yml; Build/*/Tests/StonerTest,FeatureMapped,"Feature-level evidence seed for logging, assertion, filtering, and thread-safety contracts."
005-FR-011,005,FR,FR-011,"When an assertion fails (Debug build), the system MUST report the source file, line number, the failed expression text, and any formatted message. **[Clarified]** After logging the failure details, the system MUST trigger a resumable platform debugger break (`__debugbreak()` on MSVC, `__builtin_debugtrap()` on Clang, and `raise(SIGTRAP)` on GCC/POSIX). The developer can choose to continue execution in the debugger. Assertions do NOT call `std::abort()`.",specs/005-core-logging-assertions/spec.md:104,"Source/Core/Public/Core/{FLog,FLogCategory,FLogConsoleSink,SGAssert,SGLog,SGPlatformBreak}.h","Source/Core/Private/{FLog,FLogCategory,FLogConsoleSink}.cpp",Tests/LoggingAssertionTests.cpp; Tests/Main.cpp,.github/workflows/ci.yml; Build/*/Tests/StonerTest,FeatureMapped,"Feature-level evidence seed for logging, assertion, filtering, and thread-safety contracts."
005-FR-012,005,FR,FR-012,"When a `Fatal` severity log message is emitted, the system MUST log the message and then terminate the process. **[Clarified]** In Debug builds: log → debugger break → `std::abort()`. In Release builds: log → `std::abort()`. Unlike assertion failure, Fatal log always terminates.",specs/005-core-logging-assertions/spec.md:105,"Source/Core/Public/Core/{FLog,FLogCategory,FLogConsoleSink,SGAssert,SGLog,SGPlatformBreak}.h","Source/Core/Private/{FLog,FLogCategory,FLogConsoleSink}.cpp",Tests/LoggingAssertionTests.cpp; Tests/Main.cpp,.github/workflows/ci.yml; Build/*/Tests/StonerTest,FeatureMapped,"Feature-level evidence seed for logging, assertion, filtering, and thread-safety contracts."
005-FR-016,005,FR,FR-016,"The `SG_LOG` macro MUST perform severity filtering at the macro expansion level (early-out). When a message's severity is below the category's or global minimum threshold, the macro MUST short-circuit without evaluating the format string or calling any logging function. The cost of a filtered-out message MUST be at most a single integer comparison.",specs/005-core-logging-assertions/spec.md:106,"Source/Core/Public/Core/{FLog,FLogCategory,FLogConsoleSink,SGAssert,SGLog,SGPlatformBreak}.h","Source/Core/Private/{FLog,FLogCategory,FLogConsoleSink}.cpp",Tests/LoggingAssertionTests.cpp; Tests/Main.cpp,.github/workflows/ci.yml; Build/*/Tests/StonerTest,FeatureMapped,"Feature-level evidence seed for logging, assertion, filtering, and thread-safety contracts."
005-FR-013,005,FR,FR-013,Log output for a single message MUST be atomic — concurrent logging from multiple threads MUST NOT produce interleaved characters within one log line.,specs/005-core-logging-assertions/spec.md:107,"Source/Core/Public/Core/{FLog,FLogCategory,FLogConsoleSink,SGAssert,SGLog,SGPlatformBreak}.h","Source/Core/Private/{FLog,FLogCategory,FLogConsoleSink}.cpp",Tests/LoggingAssertionTests.cpp; Tests/Main.cpp,.github/workflows/ci.yml; Build/*/Tests/StonerTest,FeatureMapped,"Feature-level evidence seed for logging, assertion, filtering, and thread-safety contracts."
